Date,ConnType,Lat,Lon,Download Speed,Download Size,Upload Speed,Upload Size,Latency,Server,InternalIp,ExternalIp,URL
05292026, 445 PM,Nr,45.7494,21.2272,245.123456,350000000,35.678912,50000000,18,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000001
05292026, 446 PM,Nr,45.7478,21.2305,198.765432,280000000,28.456789,42000000,20,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000002
05292026, 447 PM,Nr,45.7449,21.2360,312.456789,500000000,42.987654,60000000,17,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000003
05292026, 448 PM,Nr,45.7412,21.2435,276.234567,450000000,39.123456,55000000,19,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000004
05292026, 449 PM,Nr,45.7380,21.2501,150.987654,220000000,22.345678,30000000,21,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000005
05292026, 450 PM,Nr,45.7355,21.2578,310.876543,480000000,41.234567,58000000,18,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000006
05292026, 451 PM,Nr,45.7321,21.2650,402.345678,650000000,55.678912,72000000,16,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000007
05292026, 452 PM,Nr,45.7300,21.2705,375.987654,600000000,49.123456,68000000,17,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000008
05292026, 453 PM,Nr,45.7282,21.2768,289.456789,470000000,37.234567,52000000,19,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000009
05292026, 454 PM,Nr,45.7260,21.2832,210.123456,310000000,29.876543,40000000,20,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000010
05292026, 455 PM,Nr,45.7240,21.2900,340.876543,520000000,47.234567,64000000,18,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000011
05292026, 456 PM,Nr,45.7215,21.2975,398.234567,670000000,53.456789,71000000,17,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000012
05292026, 457 PM,Nr,45.7190,21.3050,280.987654,430000000,36.123456,50000000,19,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000013
05292026, 458 PM,Nr,45.7165,21.3125,190.456789,290000000,25.678912,35000000,21,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000014
05292026, 459 PM,Nr,45.7140,21.3200,220.876543,330000000,31.234567,42000000,20,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000015
05292026, 500 PM,Nr,45.7095,21.3300,310.234567,490000000,42.345678,60000000,18,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000016
05292026, 501 PM,Nr,45.7070,21.3400,275.987654,450000000,38.123456,54000000,19,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000017
05292026, 502 PM,Nr,45.7045,21.3500,350.876543,560000000,48.456789,67000000,17,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000018
05292026, 503 PM,Nr,45.7020,21.3600,410.234567,690000000,56.123456,75000000,16,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000019
05292026, 504 PM,Nr,45.7000,21.3700,380.987654,640000000,52.345678,72000000,17,Timisoara,10.210.111.22,86.124.45.67,httpswww.speedtest.netmy-resulta11640000020
