Date,ConnType,Lat,Lon,Download Speed,Download Size,Upload Speed,Upload Size,Latency,Server,InternalIp,ExternalIp,URL
"30.05.2026, 19:11",Nr,45.7541628,21.2406611,23.690832,36634596,9.97848,14778124,12,Timisoara,10.75.39.165,5.14.139.34,https://www.speedtest.net/my-result/a/11650552831
"30.05.2026, 19:11",Nr,45.7541628,21.2406611,51.785984,67259808,7.596624,13818348,12,Timisoara,10.75.39.165,5.14.139.34,https://www.speedtest.net/my-result/a/11650551455
"30.05.2026, 19:10",Nr,45.7541628,21.2406611,30.828256,41789764,7.258728,11832744,11,Timisoara,10.75.39.165,5.14.139.34,https://www.speedtest.net/my-result/a/11650549765
"30.05.2026, 19:09",Nr,45.7554522,21.2370949,43.34112,57404580,3.22452,4945812,14,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650548501
"30.05.2026, 19:08",Nr,45.7554522,21.2370949,59.287864,78100424,23.494464,30700700,14,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650547107
"30.05.2026, 19:08",Nr,45.7554522,21.2370949,49.183768,84770328,15.109656,23406672,16,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650545901
"30.05.2026, 19:07",Nr,45.7554522,21.2370949,110.700864,183975040,54.424928,90155588,13,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650544357
"30.05.2026, 19:06",Nr,45.7554522,21.2370949,76.29696,94493452,56.471824,70895364,13,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650542641
"30.05.2026, 19:05",Nr,45.7555021,21.2364239,69.002248,105024028,25.620496,41192184,16,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650540955
"30.05.2026, 19:05",Nr,45.7556721,21.2342129,15.151288,19173952,9.599904,15708244,27,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650539588
"30.05.2026, 19:04",Nr,45.7556721,21.2342129,32.696056,43014680,9.880248,15678588,16,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650538124
"30.05.2026, 19:03",Nr,45.7556721,21.2342129,42.588864,48931052,38.06816,59093624,17,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650536786
"30.05.2026, 19:03",Nr,45.7555215,21.2331573,52.841744,82392456,52.733624,84026232,15,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650535291
"30.05.2026, 19:02",Nr,45.7555215,21.2331573,62.546368,85907056,32.646384,50834428,18,Oradea,10.75.39.165,5.14.143.34,https://www.speedtest.net/my-result/a/11650533559
