feature,importance
num__speed_kmh,0.32116174631535277
num__minute,0.1737787394953322
num__radio_cell_index,0.1014109495126921
num__cells_seen_in_session,0.0882456652941
num__code,0.07395295992476571
num__is_peak_hour,0.041624748077078715
cat__transport_mode_car,0.03986738012973905
num__hour,0.02455496877146065
num__area,0.01685407143944159
num__is_high_speed,0.016632155879755584
num__frequency,0.016067077910148428
cat__transport_mode_walking,0.015488657549535373
num__day_of_week,0.014474172541536922
cat__route_id_iulius_airport,0.008643140300480127
cat__route_id_aem_complex,0.008119981139961197
cat__route_id_iulius_dumbravita,0.00736264601698382
cat__operator_Vodafone,0.004416492216373447
cat__transport_mode_tram,0.0043794883888825875
cat__operator_Digi,0.0035822082255312854
cat__transport_mode_bus,0.003357622408036826
