feature,coefficient
num__dwell_time_s,13.168744415417601
num__is_peak_hour,9.852882425198779
cat__route_id_bega_parcuri,-6.757310706376322
cat__transport_mode_walking,-6.612612928843637
te__cid,5.235826558085544
cat__route_id_aem_complex,4.667355288763725
cat__operator_Digi,-4.629704617436723
cat__route_id_complex_giroc,-4.408329540112468
cat__route_id_victoriei_michelangelo_complex,3.884808479776819
cat__route_id_iulius_dumbravita,3.473111304967263
cat__transport_mode_car,3.2554891552473775
cat__route_id_gara_traian,-2.9005510372450396
cat__operator_Orange,2.356954462615855
num__hour_sin,-1.9053755237436525
num__dow_cos,-1.854903864895409
cat__technology_LTE,-1.7876566489263825
cat__transport_mode_tram,1.7668042515185551
num__rolling_mean_speed_15s,0.9247435417716717
num__dow_sin,0.8023573099488911
cat__transport_mode_bus,-0.5235210603356664
cat__technology_NRNSA,-0.3261839334869431
num__rolling_std_speed_15s,0.3108494292599413
num__area,-0.26375140028165717
num__minute_cos,-0.23670376914193
num__frequency,-0.23434248030978816
cat__route_id_iulius_airport,-0.21762214971987348
num__handoff_history_30s,0.1846091669110487
cat__operator_Vodafone,0.1589095724074741
cat__route_id_victoriei_iulius,0.14469777753266452
num__speed_kmh,-0.0962759475612352
num__unique_pci_last_60s,-0.09153258677474368
num__speed_delta_5s,0.08330483706807942
num__hour_cos,0.07056096145285204
num__minute_sin,-0.046068833050091504
num__is_high_speed,-0.02973214295328564
num__handoff_history_60s,-0.029383325708153198
te__code,-0.023217297115688637
